"CharName","Cutpoint","CntRec","CntGood","CntBad","CntCumRec","CntCumGood","CntCumBad","PctRec","GoodRate","BadRate","Odds","LnOdds","WoE","IV","CharBinNum","IV_Char"
"motor_ins_smallcar_flag","Total","77640","6932","70708",NA,NA,NA,"1","0.0893","0.9107","0.098","-2.3224","0","0.0003","5","0.0003"
"online_cat_apparel_count","= '0'","69984","6220","63764","69984","6220","63764","0.9014","0.0889","0.9111","0.0975","-2.3274","-0.005","0","1","0.0003"
"online_cat_apparel_count","= '1'","7259","671","6588","77243","6891","70352","0.0935","0.0924","0.9076","0.1019","-2.2842","0.0382","0.0001","2","0.0003"
"online_cat_apparel_count","= '2'","392","41","351","77635","6932","70703","0.005","0.1046","0.8954","0.1168","-2.1472","0.1752","0.0002","3","0.0003"
"online_cat_apparel_count","= '3'","5","0","5","77640","6932","70708","0.0001","0","1","0","-Inf","-Inf","Inf","4","0.0003"
"online_cat_apparel_count","Missing","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","5","0.0003"
"online_cat_apparel_count","Total","77640","6932","70708",NA,NA,NA,"1","0.0893","0.9107","0.098","-2.3224","0","0.0003","6","0.0003"
"online_mode_cod_count","= '0'","70922","6308","64614","70922","6308","64614","0.9135","0.0889","0.9111","0.0976","-2.3266","-0.0042","0","1","0.0003"
"online_mode_cod_count","= '1'","6202","583","5619","77124","6891","70233","0.0799","0.094","0.906","0.1038","-2.2657","0.0567","0.0003","2","0.0003"
"online_mode_cod_count","= '2'","481","41","440","77605","6932","70673","0.0062","0.0852","0.9148","0.0932","-2.3732","-0.0508","0","3","0.0003"
"online_mode_cod_count","= '3'","33","0","33","77638","6932","70706","0.0004","0","1","0","-Inf","-Inf","Inf","4","0.0003"
"online_mode_cod_count","= '4'","2","0","2","77640","6932","70708","0","0","1","0","-Inf","-Inf","Inf","5","0.0003"
"online_mode_cod_count","Missing","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","6","0.0003"
"online_mode_cod_count","Total","77640","6932","70708",NA,NA,NA,"1","0.0893","0.9107","0.098","-2.3224","0","0.0003","7","0.0003"
"online_total_purchase_count","= '0'","55078","4946","50132","55078","4946","50132","0.7094","0.0898","0.9102","0.0987","-2.3161","0.0063","0","1","0.0003"
"online_total_purchase_count","= '1'","17049","1512","15537","72127","6458","65669","0.2196","0.0887","0.9113","0.0973","-2.3298","-0.0074","0","2","0.0003"
"online_total_purchase_count","= '2'","4374","369","4005","76501","6827","69674","0.0563","0.0844","0.9156","0.0921","-2.3845","-0.0621","0.0002","3","0.0003"
"online_total_purchase_count","= '3'","922","83","839","77423","6910","70513","0.0119","0.09","0.91","0.0989","-2.3134","0.009","0","4","0.0003"
"online_total_purchase_count","= '4'","182","19","163","77605","6929","70676","0.0023","0.1044","0.8956","0.1166","-2.1493","0.1731","0.0001","5","0.0003"
"online_total_purchase_count","= '5'","28","3","25","77633","6932","70701","0.0004","0.1071","0.8929","0.12","-2.1203","0.2021","0","6","0.0003"
"online_total_purchase_count","= '6'","6","0","6","77639","6932","70707","0.0001","0","1","0","-Inf","-Inf","Inf","7","0.0003"
"online_total_purchase_count","= '7'","1","0","1","77640","6932","70708","0","0","1","0","-Inf","-Inf","Inf","8","0.0003"
"online_total_purchase_count","Missing","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","9","0.0003"
"online_total_purchase_count","Total","77640","6932","70708",NA,NA,NA,"1","0.0893","0.9107","0.098","-2.3224","0","0.0003","10","0.0003"
"os2_fashion_quotient_flag","= '-99999'","68842","6186","62656","68842","6186","62656","0.8867","0.0899","0.9101","0.0987","-2.3154","0.007","0","1","0.0003"
"os2_fashion_quotient_flag","= '0'","8744","742","8002","77586","6928","70658","0.1126","0.0849","0.9151","0.0927","-2.3781","-0.0557","0.0003","2","0.0003"
"os2_fashion_quotient_flag","= '1'","54","4","50","77640","6932","70708","0.0007","0.0741","0.9259","0.08","-2.5257","-0.2033","0","3","0.0003"
